measurement.ID,sites.sitename,plot.name,stand.age,dominant.life.form,dominant.veg,scientific.name,veg.notes,variable.name,date,date.loc,start.date,start.date.loc,end.date,end.date.loc,mean,n,stat.name,stat,area.sampled,notes,method.ID,allometry_1,allometry_2,min.dbh,depth,covariate_1,coV_1.value,covariate_2,coV_2.value,conflicts,R.group,S.group,D.group,D.precedence,conflict.type,D.precedence.measurement.ID,conflicts.notes,citation.ID,loaded.from,source.notes,measurement.ID.v1,loaded.by,checked.ori.pub,ForC.investigator,required.citations,flag.suspicious
5556,Gorakhpur_T_40,Managed plantation forest,40,woody,2TDB,Tectona grandis ,TEGR,NPP_1_C,1972,8,NA,9,NA,9,12.53,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5560,Gorakhpur_T_5,recently disturbed plantation forest,5,woody,2TDB,Tectona grandis ,TEGR,ANPP_2_C,1972,8,NA,9,NA,9,4.65,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5562,Gorakhpur_T_5,recently disturbed plantation forest,5,woody,2TDB,Tectona grandis ,TEGR,NPP_1_C,1972,8,NA,9,NA,9,5.73,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5566,Gorakhpur_T_8,recently disturbed plantation forest,8,woody,2TDB,Tectona grandis ,TEGR,ANPP_2_C,1972,8,NA,9,NA,9,8.02,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5568,Gorakhpur_T_8,recently disturbed plantation forest,8,woody,2TDB,Tectona grandis ,TEGR,NPP_1_C,1972,8,NA,9,NA,9,10.54,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5611,Grants Pass 1,Managed,48,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,1.84,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5614,Grants Pass 1,Managed,48,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,1.3,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5623,Grants Pass 2,Managed,22,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.49,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5626,Grants Pass 2,Managed,22,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,3.99,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5635,Grants Pass 3,Managed,60,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.91,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5638,Grants Pass 3,Managed,60,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,3.05,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5647,Grants Pass 4,Managed,72,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.31,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5650,Grants Pass 4,Managed,72,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,4.02,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5659,Grants Pass 5,Managed,64,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,4.22,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5662,Grants Pass 5,Managed,64,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,3.03,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5671,Grants Pass 6,unmanaged,307,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,4.78,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5674,Grants Pass 6,unmanaged,307,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,3.26,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5700,Gribskov,Managed,118,woody,2TDB,NA,NAC,ANPP_1_C,1995,8,NA,9,NA,9,3.21,NAC,NAC,NAC,NAC,NA,206,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5703,Gribskov,Managed,118,woody,2TDB,NA,NAC,ANPP_2_C,1995,8,NA,9,NA,9,4.27,NAC,NAC,NAC,NAC,NA,206,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5707,Gribskov,Managed,118,woody,2TDB,NA,NAC,NPP_1_C,1995,8,NA,9,NA,9,5.9,NAC,NAC,NAC,NAC,NA,206,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5709,Gribskov,Managed,118,woody,2TDB,NA,NAC,NPP_2_C,1995,8,NA,9,NA,9,5.9,NAC,NAC,NAC,NAC,NA,206,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Schulze_2000_tcan,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5856,Guzman pine plantation,Stand development of unmanaged plantation,5,woody,2TEN,Pinus caribaea,PICA18,ANPP_1_OM,NA,9,1982,8,1984,8,11.4,1,NI,NI,NAC,NPP by trees only,383,27.5,27.6,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Lugo_1992_cott,Anderson_2006_toba,NA,288,Jennifer C. McGarvey,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,0
5861,Guzman secondary forest,old-field succession,7,woody,2TEB,NA,NAC,ANPP_1_OM,NA,9,1982,8,1984,8,7.9,1,NI,NI,NAC,NPP by trees only,382,28,29,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Lugo_1992_cott,Anderson_2006_toba,NA,228,Jennifer C. McGarvey,1,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,0
5893,Hainich,unmanaged,252,woody,2TDB,NA,NAC,ANPP_1_C,NA,9,2000,8,2002,8,3.47,NAC,NAC,NAC,NAC,NA,202,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5895,Hainich,unmanaged,252,woody,2TDB,NA,NAC,ANPP_2_C,NA,9,2000,8,2002,8,3.47,NAC,NAC,NAC,NAC,NA,202,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5899,Hainich,unmanaged,252,woody,2TDB,NA,NAC,NPP_1_C,NA,9,2000,8,2002,8,5.86,NAC,NAC,NAC,NAC,NA,202,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5901,Hainich,unmanaged,252,woody,2TDB,NA,NAC,NPP_2_C,NA,9,2000,8,2002,8,6.32,NAC,NAC,NAC,NAC,NA,202,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5957,Harvard Forest - Little Prospect Hill,EMS Tower (HFR1),88,woody,2TDB,NA,NAC,ANPP_2_C,1999,8,NA,9,NA,9,2.6,1,NI,NI,NAC,ANPP_woody + ANPP_foliage,110,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Curtis_2002_baeb,Anderson_2006_toba; Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5963,Harvard Forest - Little Prospect Hill,EMS Tower (HFR1),88,woody,2TDB,NA,NAC,NPP_1_C,1999,8,NA,9,NA,9,5.05,1,NI,NI,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Curtis_2002_baeb,Anderson_2006_toba; Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
5965,Harvard Forest - Little Prospect Hill,EMS Tower (HFR1),88,woody,2TDB,NA,NAC,NPP_2_C,1999,8,NA,9,NA,9,5.65,1,NI,NI,NAC,NA,NAC,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Curtis_2002_baeb,Anderson_2006_toba; Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6248,Hellion Rapids 1,recently disturbed,9,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,4.4,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6251,Hellion Rapids 1,recently disturbed,9,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,4.71,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6260,Hellion Rapids 2,Managed,31,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,4.85,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6263,Hellion Rapids 2,Managed,31,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,2.98,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6272,Hellion Rapids 3,Managed,24,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,7.64,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6275,Hellion Rapids 3,Managed,24,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,4.51,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6284,Hellion Rapids 4,Managed,85,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,5.16,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6287,Hellion Rapids 4,Managed,85,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,2.31,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6296,Hellion Rapids 5,Managed,105,woody,2TEN,NA,NAC,ANPP_1_C,2001,8,NA,9,NA,9,4.96,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6299,Hellion Rapids 5,Managed,105,woody,2TEN,NA,NAC,ANPP_2_C,2001,8,NA,9,NA,9,2.94,NAC,NAC,NAC,NAC,NA,221,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Law,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6312,Hesse,Managed,36,woody,2TDB,NA,NAC,ANPP_1_C,NA,9,2000,8,2002,8,4.94,NAC,NAC,NAC,NAC,NA,162,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6315,Hesse,Managed,36,woody,2TDB,NA,NAC,ANPP_2_C,NA,9,2000,8,2002,8,5.82,NAC,NAC,NAC,NAC,NA,162,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6319,Hesse,Managed,36,woody,2TDB,NA,NAC,NPP_1_C,NA,9,2000,8,2002,8,9.39,NAC,NAC,NAC,NAC,NA,162,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6321,Hesse,Managed,36,woody,2TDB,NA,NAC,NPP_2_C,NA,9,2000,8,2002,8,9.54,NAC,NAC,NAC,NAC,NA,162,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Bascietto_2003_dots,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6431,Hestehaven,NI,85,woody,2TDB,NA,NAC,ANPP_2_C,1970,8,NA,9,NA,9,7.05,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6433,Hestehaven,NI,85,woody,2TDB,NA,NAC,NPP_1_C,1970,8,NA,9,NA,9,8.81,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6568,Hubbard brook,unmanaged,114,woody,2TDB,NA,NAC,ANPP_2_C,NA,9,1961,8,1965,8,4.5,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6570,Hubbard brook,unmanaged,114,woody,2TDB,NA,NAC,NPP_1_C,NA,9,1961,8,1965,8,5.39,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,DeAngelis_1981_pofe,Luyssaert_2007_cbob,original sources listed in DeAngelis_1981_pofe,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6644,Sikfokut,Sikfokut,NRA,woody,2TDB,NA,NAC,ANPP_2_C,1979,8,NA,9,NA,9,4.76,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Esser_1997_weab,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6646,Sikfokut,Sikfokut,NRA,woody,2TDB,NA,NAC,NPP_1_C,1979,8,NA,9,NA,9,5.12,NAC,NAC,NAC,NAC,NA,120,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Esser_1997_weab,Luyssaert_2007_cbob,NA,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6775,Hyytiala Scots Pine Chronosequence 40,Stand development of an unmanaged plantation,39,woody,2TEN,Pinus sylvestris,PISY,ANPP_1_C,NA,9,1998,8,2001,8,2.99,NAC,NAC,NAC,NAC,NA,203,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Nikinmaa,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6778,Hyytiala Scots Pine Chronosequence 40,Stand development of an unmanaged plantation,39,woody,2TEN,Pinus sylvestris,PISY,ANPP_2_C,NA,9,1998,8,2001,8,3.29,NAC,NAC,NAC,NAC,NA,203,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Luyssaert_2007_cbob,Luyssaert_2007_cbob,original source:pers. comm. Nikinmaa,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6889,Ilomantsi 1,NI,100,woody,2TEN,NA,NAC,ANPP_2_C,2000,8,NA,9,NA,9,1.93,NAC,NAC,NAC,NAC,NA,193,NAC,NA,NAC,NA,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Gower_2001_nppa,Luyssaert_2007_cbob,ori ref: Finer 1989,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
6893,Ilomantsi 1,NI,100,woody,2TEN,NA,NAC,NPP_1_C,2000,8,NA,9,NA,9,3.51,NAC,NAC,NAC,NAC,NA,193,NAC,NA,NAC,NAC,NA,NA,NA,NA,I,NA,NA,NA,NA,NA,NAC,NA,Gower_2001_nppa,Luyssaert_2007_cbob,ori ref: Finer 1989,NA,Maria M. H. Wang,0,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Anderson-Teixeira_2018_fagd,0
